name,category_name,stock,price_per_unit,price_per_piece,allow_pieces_sell,content_unit_type,content_measurement,content_unit,selling_unit_quantity,selling_unit,image_url
Malta Guinness Bottle,Beverages,1,1,0.0833,false,bottle,330,ml,12,ctn,
Beta Malt,Beverages,1,1,0.0833,false,bottle,350,ml,12,pack,
Rush Energy Drink,Beverages,1,1,0.0833,false,can,350,ml,12,pack,
Soda Water,Beverages,1,1,0.0833,false,bottle,350,ml,12,pack,
Chocomalt,Beverages,1,1,0.0833,false,bottle,500,ml,12,pack,
LanT Soy Milk,Beverages,1,1,0.0667,false,box,360,ml,15,pack,
Storm Energy Drink,Beverages,1,1,0.0833,false,can,500,ml,12,pack,
Storm Energy Drink,Beverages,1,1,0.0833,false,can,350,ml,12,pack,
Run Energy Drink,Beverages,1,1,0.0833,false,can,500,ml,12,pack,
5Star Energy Drink,Beverages,1,1,0.0833,false,can,350,ml,12,pack,
Darling Lemon,Beverages,1,1,0.0833,false,bottle,350,ml,12,pack,
Vim Energy Drink,Beverages,1,1,0.0833,false,can,350,ml,12,pack,
Cafe Rhum,Beverages,1,1,0.02,false,bottle,50,ml,50,box,
Fanmax,Beverages,1,1,0.0833,false,bottle,250,ml,12,pack,
Old Admiral,Beverages,1,1,1,true,bottle,750,ml,1,bottle,
Champagne,Beverages,1,1,1,true,bottle,750,ml,1,bottle,
Origin Bitters,Beverages,1,1,0.0833,false,bottle,750,ml,12,pack,
Tampico,Beverages,1,1,0.0833,false,bottle,300,ml,12,pack,
Tampico,Beverages,1,1,0.0833,false,bottle,500,ml,12,pack,
Multifruit,Beverages,1,1,0.0833,false,bottle,350,ml,12,pack,
Multifruit,Beverages,1,1,0.0833,false,bottle,500,ml,12,pack,
